,k,ACC
0,6,0.9983980059623718
0,6,0.9972004294395447
0,6,0.9557498693466187
0,6,0.6752105355262756
0,6,0.995581328868866
0,6,0.6904788017272949
0,6,0.6600983738899231
0,6,0.9983726739883423
0,6,0.9980951547622681
0,6,0.695611834526062
0,6,0.979204535484314
0,6,0.6348587274551392
0,6,0.9996062517166138
0,6,0.99802565574646
0,7,0.7624756097793579
0,7,0.7276261448860168
0,7,0.995373010635376
0,7,0.6261273622512817
0,7,0.7414767742156982
0,7,0.9982877373695374
0,7,0.877693235874176
0,7,0.7399501800537109
0,7,0.7436944246292114
0,7,0.7597324252128601
0,7,0.9615333676338196
0,7,0.9607135057449341
0,7,0.98038250207901
0,7,0.991142749786377
0,7,0.6271880269050598
0,7,0.6231700778007507
0,7,0.8290480971336365
0,7,0.9964241981506348
0,7,0.9972200989723206
0,7,0.9133493900299072
0,7,0.9886755347251892
0,7,0.736335039138794
0,7,0.9128278493881226
0,7,0.9987048506736755
0,7,0.7622263431549072
0,7,0.9053071737289429
0,7,0.690073549747467
0,7,0.9442716836929321
0,7,0.6445971727371216
0,7,0.6447826027870178
0,7,0.9089707136154175
0,7,0.7616140246391296
0,7,0.8382673859596252
0,7,0.997555136680603
0,7,0.9952221512794495
0,7,0.9034261107444763
0,7,0.74298095703125
0,7,0.9981507658958435
0,7,0.7390897870063782
0,7,0.6398823857307434
0,7,0.9718639254570007
0,7,0.7322395443916321
0,7,0.9095877408981323
0,7,0.7579919695854187
0,7,0.7213129997253418
0,7,0.6276692748069763
0,7,0.9970541000366211
0,7,0.8946422338485718
0,7,0.7620752453804016
0,7,0.9218630194664001
0,8,0.9945632219314575
0,8,0.9909598231315613
0,8,0.9936363101005554
0,8,0.9988822340965271
0,8,0.9984254240989685
0,8,0.9963707327842712
0,8,0.9860250949859619
0,8,0.9981879591941833
0,8,0.997346818447113
0,8,0.9911090731620789
0,8,0.9989263415336609
0,8,0.983862042427063
0,8,0.991844892501831
0,8,0.9897822737693787
0,8,0.9987949728965759
0,8,0.9921844601631165
0,8,0.9982836246490479
0,8,0.9994133710861206
0,8,0.9735645055770874
0,8,0.998424232006073
0,8,0.9996557235717773
0,8,0.9897670149803162
0,8,0.9880048632621765
0,8,0.9941534996032715
0,8,0.999422550201416
0,8,0.9935374855995178
0,8,0.9972055554389954
0,8,0.9841840863227844
0,8,0.999337375164032
0,8,0.9895232915878296
0,8,0.9961013197898865
0,8,0.9989253282546997
0,8,0.9916921854019165
0,8,0.9896669387817383
0,8,0.9965934753417969
0,8,0.9966562986373901
0,8,0.9982683658599854
0,8,0.9907062649726868
0,8,0.992201566696167
0,8,0.9958432912826538
0,8,0.9982059597969055
0,8,0.9921427965164185
0,8,0.9516394138336182
0,8,0.9927876591682434
0,8,0.9838222861289978
0,8,0.9988052845001221
0,8,0.9883943796157837
0,8,0.9684774279594421
0,8,0.996601939201355
0,8,0.9968727827072144
0,9,0.9741581678390503
0,9,0.9463880062103271
0,9,0.9695894122123718
0,9,0.9452323913574219
0,9,0.9321766495704651
0,9,0.9961521029472351
0,9,0.991749107837677
0,9,0.9437151551246643
0,9,0.9448834657669067
0,9,0.9472215175628662
0,9,0.7994546890258789
0,9,0.9448086023330688
0,9,0.7684971690177917
0,9,0.9657220840454102
0,9,0.755403459072113
0,9,0.9416133165359497
0,9,0.9545078873634338
0,9,0.9891417026519775
0,9,0.9635547995567322
0,9,0.9967299103736877
0,9,0.7699775695800781
0,9,0.9684250950813293
0,9,0.9376534223556519
0,9,0.6721479296684265
0,9,0.9383156895637512
0,9,0.9544804096221924
0,9,0.9629927277565002
0,9,0.9892027974128723
0,9,0.9384752511978149
0,9,0.9668816328048706
0,9,0.9331527352333069
0,9,0.98308926820755
0,9,0.9590016603469849
0,9,0.9623548984527588
0,9,0.977952241897583
0,9,0.9371236562728882
0,9,0.9881658554077148
0,9,0.9267069101333618
0,9,0.981016993522644
0,9,0.9961234331130981
0,9,0.968822181224823
0,9,0.9637685418128967
0,9,0.7779431939125061
0,9,0.9097192883491516
0,9,0.9826939702033997
0,9,0.9652186036109924
0,9,0.7671743631362915
0,9,0.9629947543144226
0,9,0.9220670461654663
0,9,0.9811562299728394
0,10,0.7569125890731812
0,10,0.7374687790870667
0,10,0.9684742093086243
0,10,0.9955938458442688
0,10,0.9890859127044678
0,10,0.7515409588813782
0,10,0.8358713984489441
0,10,0.790397584438324
0,10,0.860187828540802
0,10,0.8997225761413574
0,10,0.9207053780555725
0,10,0.9730578064918518
0,10,0.9451771378517151
0,10,0.7309356927871704
0,10,0.8377750515937805
0,10,0.9417675733566284
0,10,0.8808253407478333
0,10,0.8679875731468201
0,10,0.9818674921989441
0,10,0.9909855127334595
0,10,0.9946222305297852
0,10,0.991546094417572
0,10,0.9512509703636169
0,10,0.8128067255020142
0,10,0.9125857353210449
0,10,0.9085023999214172
0,10,0.9717163443565369
0,10,0.9153796434402466
0,10,0.8487002849578857
0,10,0.8699098229408264
0,10,0.7689937949180603
0,10,0.8597365617752075
0,10,0.8697246313095093
0,10,0.9738489389419556
0,10,0.9836304783821106
0,10,0.9391644597053528
0,10,0.9680832028388977
0,10,0.8864994645118713
0,10,0.741694986820221
0,10,0.9294487237930298
0,10,0.7367535829544067
0,10,0.6871429681777954
0,10,0.9936398863792419
0,10,0.8062232136726379
0,10,0.9621663689613342
0,10,0.7787582278251648
0,10,0.716669499874115
0,10,0.9740714430809021
0,10,0.99400794506073
0,10,0.8641675114631653
