,k,ACC
0,4,0.6531129514825426
0,4,0.655595212767756
0,4,0.6492732939931604
0,4,0.6528630431645221
0,4,0.6646519661926288
0,4,0.6557364109430822
0,4,0.6700208606183801
0,4,0.6527016132147276
0,4,0.664727674899863
0,4,0.6704613798066752
0,4,0.6481849186169135
0,4,0.6459920544197345
0,4,0.65418556688404
0,4,0.6249499509591022
0,4,0.6632200331969442
0,4,0.6596221478714432
0,5,0.6341144610623981
0,5,0.5703345592920623
0,5,0.5895609557453695
0,5,0.5984893946557988
0,5,0.6376419551293451
0,5,0.6618576180737556
0,5,0.6067374474277692
0,5,0.6275683713954233
0,5,0.6362968737526828
0,5,0.6260889472539992
0,5,0.5719947798497655
0,5,0.5576160324509046
0,5,0.5908765005671509
0,5,0.6699526450611589
0,5,0.5578776426231409
0,5,0.6301111316289273
0,5,0.5046009732313229
0,5,0.5699510147659159
0,5,0.6565964230195415
0,5,0.565877892487266
0,5,0.5635579676521851
0,5,0.5701312505771777
0,5,0.6519992292176681
0,5,0.619781103029748
0,5,0.5518815757931586
0,5,0.5464391882587841
0,5,0.6573857252627654
0,5,0.5920376673738794
0,5,0.613484347562981
0,5,0.5468916026635455
0,5,0.6126968070116319
0,5,0.6649566340336365
0,5,0.5996437044774627
0,5,0.5879173156122902
0,5,0.5657757855951976
0,5,0.677651178400559
0,5,0.6328978825264616
0,5,0.5435966496512734
0,5,0.5543036955575219
0,5,0.5188743767051078
0,5,0.6279789448329289
0,5,0.67731144233332
0,5,0.6544328440126239
0,5,0.6346938340119384
0,5,0.6380302456894902
0,5,0.6219535707563345
0,5,0.5722945728375975
0,5,0.6195170445898435
0,5,0.6401771844810836
0,5,0.6252093095242439
0,6,0.5846133841179817
0,6,0.5765893053326377
0,6,0.5798939872609076
0,6,0.589413101856329
0,6,0.5828141522060495
0,6,0.6081898014882299
0,6,0.5914353620502321
0,6,0.5761217833303882
0,6,0.5968934741351378
0,6,0.5832029110229029
0,6,0.5955966055833539
0,6,0.5982083505542928
0,6,0.586885651772356
0,6,0.5965615190207026
0,6,0.5664242582532077
0,6,0.5849187873893477
0,6,0.5781477167389171
0,6,0.5912615775777705
0,6,0.5880329159155329
0,6,0.5966682661248894
0,6,0.5740623030668794
0,6,0.578204231583828
0,6,0.5797619225041468
0,6,0.5922077713365532
0,6,0.5860792225913612
0,6,0.5817552208302235
0,6,0.5853650987802962
0,6,0.5962057425241802
0,6,0.5871384999853955
0,6,0.5994304013547272
0,6,0.5872618710152533
0,6,0.598800951406876
0,6,0.6038965527540077
0,6,0.5875048378761841
0,6,0.5857054972771387
0,6,0.5760699189181698
0,6,0.5786313204022885
0,6,0.5811122715724797
0,6,0.5761443506785338
0,6,0.5833320275775474
0,6,0.5883851872584133
0,6,0.6000689041602394
0,6,0.5867971402636263
0,6,0.5821979051348842
0,6,0.6103390665911205
0,6,0.5870840120269639
0,6,0.592464871153919
0,6,0.5769491801776659
0,6,0.6025030791898197
0,6,0.5986567695871944
0,7,0.6283622967961233
0,7,0.6395113921491228
0,7,0.6663343281775115
0,7,0.6180834243483242
0,7,0.627358341288818
0,7,0.6639578296670954
0,7,0.6138017530432596
0,7,0.6304712189856249
0,7,0.6138183177761651
0,7,0.6426448915822888
0,7,0.6360966789247919
0,7,0.6413081819947979
0,7,0.6422074800472366
0,7,0.6309248434599048
0,7,0.6280639253158651
0,7,0.6531062696685639
0,7,0.6263947633889255
0,7,0.663110700739978
0,7,0.6654209581142775
0,7,0.6175499327616125
0,7,0.6024849698505425
0,7,0.6565219916909076
0,7,0.6239989861713594
0,7,0.6358354260306455
0,7,0.6311682900414297
0,7,0.6427773854065236
0,7,0.6227016245520514
0,7,0.6320226189013518
0,7,0.6395017772992988
0,7,0.6354243323818292
0,7,0.6891521998736871
0,7,0.6798855549151553
0,7,0.6369102455513347
0,7,0.6735333819577174
0,7,0.6767017584321029
0,7,0.6278730702132139
0,7,0.6435222128915589
0,7,0.6508021089880958
0,7,0.6186132346140151
0,7,0.6341699252536631
0,7,0.6522804754765896
0,7,0.6293688131914815
0,7,0.6325907964783826
0,7,0.6313268003020793
0,7,0.6413140030162781
0,7,0.6346075418572044
0,7,0.6011800540669839
0,7,0.6297999984047913
0,7,0.5791875718817358
0,7,0.6405503836136677
0,8,0.69722773125083
0,8,0.6953902097608078
0,8,0.6512763051226862
0,8,0.6675224640135702
0,8,0.6931954416505208
0,8,0.700908027454058
0,8,0.6936645311653891
0,8,0.660247269784381
0,8,0.6788209668413806
0,8,0.6942039338489879
0,8,0.6665733201444348
0,8,0.662544203541641
0,8,0.6924446329857742
0,8,0.6972449020299396
0,8,0.6688488732890384
0,8,0.6969507765483121
0,8,0.7014181422877164
0,8,0.6996033916316584
0,8,0.65635133990435
0,8,0.6847327997662971
0,8,0.7003990165640481
0,8,0.7012607976078609
0,8,0.7067781744666959
0,8,0.6754537018219484
0,8,0.691713491928733
0,8,0.6756604555892476
0,8,0.7137522141285563
0,8,0.652133824713583
0,8,0.6655193511761263
0,8,0.6959773894638001
0,8,0.6617753964019475
0,8,0.7032778333227523
